
   INFO  Server running on [http://127.0.0.1:8010].  

  Press Ctrl+C to stop the server
  2026-04-03 05:23:46 /css/app.css ....................................................................... ~ 590.69ms
  2026-04-03 05:23:47 /images/logo-sidebar.png ............................................................ ~ 30.65ms
  2026-04-03 05:23:47 /js/pwa.js .......................................................................... ~ 50.98ms
  2026-04-03 05:23:47 /sw.js ............................................................................... ~ 0.28ms
  2026-04-03 05:23:47 / .................................................................................. ~ 513.93ms
  2026-04-03 05:23:47 /offline ........................................................................... ~ 604.81ms
  2026-04-03 05:23:47 /css/app.css ........................................................................ ~ 57.99ms
  2026-04-03 05:23:47 /manifest.json ...................................................................... ~ 35.38ms
  2026-04-03 05:23:47 /internal/tickets/a173afd7-019f-43f8-b2ed-21a49854127d ............................. ~ 587.72ms
  2026-04-03 05:23:47 /css/app.css ....................................................................... ~ 593.49ms
  2026-04-03 05:23:48 /images/logo-sidebar.png ............................................................ ~ 25.79ms
  2026-04-03 05:23:48 /js/pwa.js .......................................................................... ~ 48.58ms
  2026-04-03 05:23:48 /sw.js ............................................................................... ~ 0.37ms
  2026-04-03 05:23:48 / .................................................................................... ~ 0.39ms
  2026-04-03 05:23:48 /offline ............................................................................ ~ 45.07ms
  2026-04-03 05:23:48 /css/app.css ........................................................................ ~ 34.90ms
  2026-04-03 05:23:48 .................................................................................... ~ 535.64ms
  2026-04-03 05:23:48 .................................................................................... ~ 573.17ms
  2026-04-03 05:23:48 .................................................................................... ~ 607.49ms
  2026-04-04 16:13:06 / .................................................................................... ~ 2.07ms
  2026-04-04 16:13:06 /login ............................................................................. ~ 509.78ms
  2026-04-04 16:13:06 / .................................................................................... ~ 0.28ms
  2026-04-04 16:13:06 /login ............................................................................. ~ 503.38ms
  2026-04-04 16:13:10 /admin/login ....................................................................... ~ 502.51ms
  2026-04-04 16:13:11 /css/app.css ......................................................................... ~ 0.34ms
  2026-04-04 16:13:11 /js/pwa.js .......................................................................... ~ 26.89ms
  2026-04-04 16:13:14 /sw.js ............................................................................... ~ 0.94ms
  2026-04-04 16:13:14 / .................................................................................... ~ 0.52ms
  2026-04-04 16:13:14 /offline ........................................................................... ~ 552.46ms
